Time,Power,Operation,FR,CR,Rho,Insert_Rho
260,2.61603E-09,2.3091E-09,4,22.62,13,1032.64
261,2.62031E-09,1.53025E-09,4,22.62,13,1032.64
262,2.62459E-09,2.41757E-09,4,22.62,13,1032.64
263,2.62888E-09,1.46351E-09,4,22.62,13,1032.64
264,2.63318E-09,2.41688E-09,4,22.62,13,1032.64
265,2.63749E-09,1.59331E-09,4,22.62,13,1032.64
266,2.6418E-09,2.51697E-09,4,22.62,13,1032.64
267,2.64612E-09,1.91167E-09,4,22.62,13,1032.64
268,2.65045E-09,2.43527E-09,4,22.62,13,1032.64
269,2.65479E-09,1.89998E-09,4,22.62,13,1032.64
270,2.65913E-09,2.32641E-09,4,22.62,13,1032.64
271,2.66348E-09,1.58335E-09,4,22.62,13,1032.64
272,2.66783E-09,2.40431E-09,4,22.62,13,1032.64
273,2.67219E-09,1.57521E-09,4,22.62,13,1032.64
274,2.67656E-09,2.50243E-09,4,22.62,13,1032.64
275,2.68094E-09,1.51494E-09,4,22.62,13,1032.64
276,2.68532E-09,2.43126E-09,4,22.62,13,1032.64
277,2.68971E-09,1.9771E-09,4,22.62,13,1032.64
278,2.69411E-09,2.44989E-09,4,22.62,13,1032.64
279,2.69852E-09,1.59359E-09,4,22.62,13,1032.64
280,2.70293E-09,2.36351E-09,4,22.62,13,1032.64
281,2.70735E-09,2.5831E-09,4,22.62,13,1032.64
282,2.71177E-09,2.22946E-09,4,22.62,13,1032.64
283,2.71621E-09,2.70226E-09,4,22.62,13,1032.64
284,2.72065E-09,2.36126E-09,4,22.62,13,1032.64
285,2.7251E-09,2.46777E-09,4,22.62,13,1032.64
286,2.72955E-09,1.84705E-09,4,22.62,13,1032.64
287,2.73401E-09,2.43462E-09,4,22.62,13,1032.64
288,2.73848E-09,1.58444E-09,4,22.62,13,1032.64
289,2.74296E-09,2.53132E-09,4,22.62,13,1032.64
290,2.74744E-09,3.01516E-09,4,22.62,13,1032.64
291,2.75193E-09,2.44641E-09,4,22.62,13,1032.64
292,2.75643E-09,2.84691E-09,4,22.62,13,1032.64
293,2.76094E-09,2.40335E-09,4,22.62,13,1032.64
294,2.76545E-09,2.64299E-09,4,22.62,13,1032.64
295,2.76997E-09,2.41501E-09,4,22.62,13,1032.64
296,2.7745E-09,2.87932E-09,4,22.62,13,1032.64
297,2.77904E-09,2.3765E-09,4,22.62,13,1032.64
298,2.78358E-09,2.84622E-09,4,22.62,13,1032.64
299,2.78813E-09,2.01522E-09,4,22.62,13,1032.64
300,2.79269E-09,2.7311E-09,4,22.62,13,1032.64
301,2.79725E-09,2.36157E-09,4,22.62,13,1032.64
302,2.80182E-09,2.59774E-09,4,22.62,13,1032.64
303,2.8064E-09,1.96749E-09,4,22.62,13,1032.64
304,2.81099E-09,2.52074E-09,4,22.62,13,1032.64
305,2.81558E-09,1.76561E-09,4,22.62,13,1032.64
306,2.82019E-09,2.69758E-09,4,22.62,13,1032.64
307,2.8248E-09,1.66063E-09,4,22.62,13,1032.64
308,2.82941E-09,2.65062E-09,4,22.62,13,1032.64
309,2.83404E-09,1.65079E-09,4,22.62,13,1032.64
310,2.83867E-09,2.60542E-09,4,22.62,13,1032.64
311,2.84331E-09,2.16724E-09,4,22.62,13,1032.64
312,2.84795E-09,2.50839E-09,4,22.62,13,1032.64
313,2.85261E-09,1.73567E-09,4,22.62,13,1032.64
314,2.85727E-09,2.43349E-09,4,22.62,13,1032.64
315,2.86194E-09,1.69602E-09,4,22.62,13,1032.64
316,2.86662E-09,2.51801E-09,4,22.62,13,1032.64
317,2.8713E-09,2.61428E-09,4,22.62,13,1032.64
318,2.876E-09,2.60031E-09,4,22.62,13,1032.64
319,2.8807E-09,1.66899E-09,4,22.62,13,1032.64
320,2.8854E-09,2.53216E-09,4,22.62,13,1032.64
321,2.89012E-09,2.70541E-09,4,22.62,13,1032.64
322,2.89484E-09,2.44328E-09,4,22.62,13,1032.64
323,2.89957E-09,3.01416E-09,4,22.62,13,1032.64
324,2.90431E-09,2.47439E-09,4,22.62,13,1032.64
325,2.90906E-09,2.831E-09,4,22.62,13,1032.64
326,2.91381E-09,2.06134E-09,4,22.62,13,1032.64
327,2.91857E-09,2.92546E-09,4,22.62,13,1032.64
328,2.92334E-09,2.44556E-09,4,22.62,13,1032.64
329,2.92812E-09,2.81461E-09,4,22.62,13,1032.64
330,2.9329E-09,2.57288E-09,4,22.62,13,1032.64
331,2.9377E-09,2.58509E-09,4,22.62,13,1032.64
332,2.9425E-09,2.48415E-09,4,22.62,13,1032.64
333,2.94731E-09,2.99742E-09,4,22.62,13,1032.64
334,2.95212E-09,2.35081E-09,4,22.62,13,1032.64
335,2.95695E-09,2.89512E-09,4,22.62,13,1032.64
